feature,importance
kwh_roll24_cv,10471
kwh_lag1,9733
kwh_roll24_mean,9449
kwh_roll24_std,9190
진상무효전력량(kVarh),8601
요금적용전력_kW,8438
kwh_시간대비_요일,8341
PF_diff,7560
sin_day,7258
kwh_lag24,6931
지상역률(%),6870
진상역률(%),6747
일,6501
총무효전력,6420
kwh_변화율_24h,5615
cos_day,5437
지상무효전력량(kVarh),5181
역률_월평균차이,4894
유효역률(%),4755
전력사용량(kWh),4443
요일,4307
월,4174
피상전력_sim,3748
역률당전력,3347
지상역률_보정,3157
cos_month,2594
시간,2485
시간_작업유형_encoded,2366
무효유효비율,2267
역률_조정요율,2015
sin_month,1945
부하역률곱,1928
cos_time,1818
sin_time,1704
역률_월평균,1442
PF_recalc,1432
tou_pf_risk,974
역률부족폭_94,930
일일패턴유형,850
tou_price_code_encoded,608
지상역률_주간클립,603
겨울여부,510
작업유형_encoded,337
tou_relative_price,280
역률부족폭_90,195
period_flag,48
주말여부,39
실질위험,34
critical_zone,19
주간여부,9
역률우수,0
법적페널티,0
