feature,mae_increase
cos_time,275.2009994803234
전력사용량(kWh),61.67021249172967
겨울여부,52.5580472432398
작업유형_encoded,46.14209550771557
요일,43.34529886347559
진상무효전력량(kVarh),26.918351678952376
cos_month,24.139858597302236
시간,23.729823656719418
진상역률(%),15.853482780008562
일,15.174066795547787
월,10.327639270333975
주말여부,9.90835718704193
sin_month,9.057322747967419
sin_time,8.418022919035138
유효역률(%),5.571861290971356
지상무효전력량(kVarh),5.458672005027438
tou_price_code_encoded,4.89444081400211
시간_작업유형_encoded,4.88100024829032
총무효전력,3.5036100462925788
야간여부,2.5785087685037524
역률_조정요율,2.201764639685507
주간여부,2.0838977696539587
법적페널티,1.7888962808096949
지상역률_보정,1.5308378210568208
지상역률_주간클립,1.4949313634829196
실질위험,1.4225636116398164
역률부족폭_94,1.2178693980381468
역률우수,0.6295345932821874
period_flag,0.1642971131984723
tou_relative_price,-4.530842251452896
